genero;raca;idade;estado;mesespreso;sentencamaxima;multiploscrimes;crime;violou
1;1;33.2;outro;5.5;18;0;direcao;0
0;1;39.7;outro;5.4;12;0;drogas;0
1;0;29.5;outro;5.6;12;0;drogas;0
1;1;22.4;outro;5.7;18;0;outro;0
1;0;21.6;outro;5.4;12;0;outro;0
1;0;46.7;outro;6;18;0;direcao;0
1;1;31;outro;6;18;0;drogas;0
0;1;24.6;outro;4.8;12;0;outro;0
0;1;32.6;outro;4.5;13;0;drogas;0
1;0;29.1;outro;4.7;12;0;subtracao;0
0;0;28.4;outro;4.5;12;1;outro;0
1;1;20.5;outro;5.9;12;0;outro;0
1;1;30.1;outro;5.3;16;0;drogas;0
1;1;37.8;outro;5.3;8;0;drogas;0
1;1;41.7;outro;5.5;8;0;drogas;0
1;0;43.5;outro;5.2;8;0;outro;0
1;1;42.3;outro;4.8;16;0;drogas;0
1;1;21.3;outro;5.1;8;0;outro;0
1;0;24.5;outro;6;16;0;drogas;0
1;1;42.3;outro;5.8;16;0;outro;0
1;1;31.6;outro;4.9;8;0;outro;0
1;0;35.4;outro;5.3;8;0;drogas;0
1;1;41.9;outro;5.1;16;0;drogas;0
1;1;38.9;outro;5.2;16;0;drogas;0
1;0;23;outro;5.3;8;0;outro;0
1;1;29.5;outro;3.9;16;0;outro;1
1;1;32.8;outro;5.9;16;0;drogas;0
1;0;32.4;outro;5.1;8;0;outro;0
1;1;29.7;outro;5.8;8;0;subtracao;0
1;1;28.7;outro;6;8;0;outro;0
1;1;50.2;outro;6;8;0;outro;0
1;1;25.9;outro;0.5;16;0;outro;0
1;0;49.9;outro;4.7;16;0;outro;0
1;1;47.1;outro;5.4;13;0;outro;0
1;1;36.7;outro;0.9;16;0;drogas;0
1;1;37.2;outro;2;16;0;outro;1
1;1;23.2;outro;0.9;16;0;outro;0
1;1;31.4;outro;0.7;16;0;outro;0
1;1;39.1;outro;0;16;0;drogas;0
0;1;50.6;outro;3;12;0;outro;0
0;1;36.3;outro;5.2;16;0;subtracao;0
1;1;29.9;outro;4.8;12;1;outro;1
1;1;27.5;outro;3.8;12;1;drogas;1
1;1;28.1;outro;4.2;12;1;subtracao;0
1;1;34.2;outro;4.4;12;1;outro;1
1;0;36.5;outro;3.9;12;1;direcao;1
1;1;33.5;outro;4.2;12;1;outro;1
1;1;55;outro;4.2;12;1;direcao;0
1;1;31.2;outro;5.2;15;1;direcao;0
1;1;39.6;outro;4.7;13;1;direcao;0
1;1;37.3;outro;4.6;12;1;outro;1
1;1;21.1;outro;4.9;12;1;outro;0
1;1;34.9;outro;4.5;12;1;direcao;1
1;1;24.9;outro;0.1;18;1;outro;0
0;1;61.6;outro;4.5;12;1;outro;0
1;1;48;outro;5.2;12;1;outro;0
1;1;41.7;outro;4.4;12;1;outro;1
1;1;21.4;outro;4.3;12;1;outro;0
1;1;54.5;outro;4.1;12;1;outro;0
1;0;38.8;outro;3.7;12;1;outro;0
1;1;20.2;outro;2.1;12;1;outro;0
1;1;41.4;outro;4.1;12;1;outro;1
1;1;48.2;outro;5.3;12;1;subtracao;1
1;1;32.2;outro;4.9;12;1;outro;1
1;1;33.7;outro;0.2;12;1;outro;0
0;1;39.7;outro;4.4;12;1;drogas;1
1;1;35;outro;1.2;18;1;outro;0
1;0;57.5;KY;5.9;12;0;outro;0
1;0;57.5;KY;5.9;12;0;outro;0
0;1;42.4;KY;3.6;12;0;drogas;0
0;1;25.3;KY;4.8;12;0;subtracao;0
0;1;37.5;KY;4.8;12;0;outro;0
0;1;22.3;KY;4;12;0;subtracao;0
0;0;40.1;KY;5.2;12;0;outro;0
0;0;40.3;KY;5.9;12;1;drogas;0
0;1;33.2;KY;4.8;12;0;outro;0
0;1;33.2;KY;4.8;12;0;outro;0
0;1;43.5;KY;2.5;12;0;drogas;0
0;1;43.6;KY;3.8;12;0;drogas;0
0;1;43.6;KY;3.8;12;0;drogas;0
1;1;33.7;KY;5.2;12;0;drogas;1
1;0;20.6;KY;4.2;12;0;drogas;1
1;0;34.8;KY;5.1;12;0;outro;0
1;1;25;KY;5.3;12;0;outro;0
0;1;39;KY;5.7;18;0;drogas;0
1;1;30.8;KY;5.1;12;0;subtracao;0
1;1;29.9;KY;4;12;0;drogas;1
1;1;37.4;KY;4.9;12;0;drogas;1
1;1;41.1;KY;4.2;12;0;direcao;0
1;0;26.6;KY;2.6;12;0;outro;0
1;1;20.5;KY;3.2;12;1;outro;1
1;1;51.1;KY;4.4;18;1;drogas;0
0;1;27.7;KY;5.3;18;0;drogas;0
0;1;25.7;KY;5.5;12;0;drogas;0
0;1;22;KY;5.3;12;1;drogas;0
1;1;26.9;KY;4.5;18;0;drogas;0
1;1;47.2;KY;5.1;12;0;drogas;0
1;1;31.5;KY;4.5;12;0;drogas;0
0;0;21;KY;5.2;18;0;drogas;0
0;0;24.2;KY;4.8;12;0;outro;0
1;1;37.3;KY;3.5;12;0;drogas;0
1;1;22.6;KY;4.7;12;0;outro;0
0;1;35;KY;5.7;12;0;drogas;0
1;1;22.4;KY;4.7;12;0;outro;0
1;1;22;KY;5.1;12;0;drogas;0
1;1;51.2;KY;5.6;18;0;outro;0
1;0;41;KY;4.7;12;0;drogas;0
1;1;27;KY;5.2;12;0;outro;0
1;1;21.9;KY;5.5;12;0;drogas;0
0;1;21.5;KY;5.2;12;0;drogas;0
0;1;24.2;KY;5;12;0;outro;0
1;1;51.1;KY;5.1;12;0;outro;0
1;1;18.8;KY;4.9;12;0;outro;0
1;1;32.5;KY;4.4;12;0;drogas;0
1;1;24.3;KY;6;12;0;drogas;0
1;1;50.5;KY;4.8;12;0;drogas;0
1;1;23.4;KY;5.2;12;0;subtracao;0
1;1;21.4;KY;5.6;18;0;outro;0
1;1;32.4;KY;5.3;12;0;drogas;0
1;1;45;KY;3.5;12;0;drogas;0
1;1;46.7;KY;5.1;12;0;drogas;0
1;1;23.2;KY;5.2;18;0;drogas;0
1;0;41.3;KY;4.9;12;1;drogas;1
1;1;43.4;KY;4.7;18;1;drogas;0
0;1;29.1;KY;4.9;12;0;drogas;0
1;1;40.4;KY;4.2;12;0;outro;0
1;0;39;KY;5.3;12;0;outro;0
1;0;23.3;KY;5.2;12;0;drogas;0
1;0;23.3;KY;5.2;12;0;drogas;0
1;0;18.7;KY;5.2;12;0;outro;1
1;0;32;KY;5.5;12;0;drogas;0
1;1;21.9;KY;5.3;12;0;drogas;0
1;1;28.3;KY;5.8;12;0;drogas;0
1;1;35.1;KY;5.1;14;0;subtracao;0
0;0;39.8;KY;4.5;12;1;outro;1
0;1;29;KY;5.9;12;0;drogas;0
0;1;36.2;KY;5.1;12;1;subtracao;0
0;1;36.2;KY;5.1;12;1;subtracao;0
0;1;44.4;KY;4.9;12;0;subtracao;1
0;1;32.3;KY;4.9;12;0;subtracao;0
1;1;24.2;KY;4.7;12;1;subtracao;0
1;1;45.9;KY;4.5;12;0;drogas;0
1;1;45.9;KY;4.5;12;0;drogas;0
0;1;26.8;KY;4.9;12;0;outro;1
1;1;56.8;KY;4.4;12;0;drogas;0
1;1;56.8;KY;4.4;12;0;drogas;0
1;0;48.9;KY;4.1;12;0;outro;0
1;1;39.2;KY;5.2;12;0;outro;0
1;1;39.2;KY;5.2;12;0;outro;0
1;1;38.3;KY;4.9;12;0;outro;1
0;1;41.3;KY;5.9;12;0;drogas;0
0;1;41.3;KY;5.9;12;0;drogas;0
1;1;39.1;KY;4.2;12;0;drogas;0
0;0;25.6;KY;3.7;12;0;outro;1
0;1;22.4;KY;3.4;12;0;drogas;1
0;1;30.2;KY;5;12;1;outro;0
1;1;53.5;KY;5.5;12;0;outro;0
1;1;53.5;KY;5.5;12;0;outro;0
1;1;43;KY;4.9;12;0;outro;0
1;1;21.8;KY;4.7;12;0;drogas;0
1;1;21.8;KY;4.7;12;0;drogas;0
1;1;31;KY;5.1;12;0;drogas;0
1;1;31;KY;5.1;12;0;drogas;0
1;1;32.7;KY;5.1;12;1;outro;0
1;1;32.7;KY;5.1;12;1;outro;0
1;1;26.3;KY;4.3;12;0;drogas;0
1;1;26.3;KY;4.3;12;0;drogas;0
0;1;44;KY;5.4;12;0;drogas;0
0;1;44;KY;5.4;12;0;drogas;0
1;1;27.4;KY;5.2;12;0;drogas;1
1;1;37.2;KY;6;12;0;drogas;0
1;1;37.2;KY;6;12;0;drogas;0
1;1;32.2;KY;3;12;0;outro;0
1;1;19.2;KY;1.8;12;0;outro;0
1;1;19.5;KY;5.3;12;0;outro;0
1;1;19.5;KY;5.3;12;0;outro;0
1;0;46.1;KY;1.8;12;0;direcao;0
1;0;46.3;KY;4.4;12;0;direcao;0
1;0;46.3;KY;4.4;12;0;direcao;0
1;1;45.1;KY;2.4;12;0;outro;0
1;1;45.4;KY;5.9;12;0;outro;0
1;1;45.4;KY;5.9;12;0;outro;0
1;1;48.5;KY;3.2;12;0;drogas;0
1;1;48.7;KY;5.7;12;0;drogas;0
1;1;48.7;KY;5.7;12;0;drogas;0
1;1;39.4;KY;4.2;12;0;drogas;0
1;1;20.7;KY;4.5;12;0;drogas;0
1;1;49.9;LA;4.2;18;0;outro;0
1;0;46.7;LA;1.1;12;1;outro;0
0;0;46.5;LA;2.7;13;1;subtracao;1
1;1;43.8;LA;2.9;1;1;direcao;0
1;0;41.2;LA;6;12;1;drogas;0
1;0;43.6;LA;5.4;16;1;outro;1
1;0;38.7;LA;6;9;1;outro;1
1;0;44.9;LA;0.8;1;1;outro;1
1;1;44.7;LA;2.2;12;1;direcao;1
0;0;48.8;LA;5.3;10;1;subtracao;1
1;0;37;LA;2.7;3;1;drogas;0
1;0;35.5;LA;0.5;4;1;drogas;0
1;0;43.6;LA;1.1;18;1;drogas;1
1;0;35.2;LA;4.5;6;1;outro;0
1;1;31.2;LA;5.3;9;1;outro;0
1;0;32.8;LA;5;8;1;drogas;1
1;0;35.9;LA;5.7;10;1;drogas;0
1;0;28.8;LA;5.7;8;1;outro;0
1;0;41.3;LA;4.7;3;1;outro;1
1;1;45.8;LA;2;6;1;outro;1
1;0;34.5;LA;4.5;6;1;outro;0
0;1;38.4;LA;3.6;6;1;outro;0
1;0;28.1;LA;0.8;18;1;outro;1
1;0;28.9;LA;6;9;1;outro;1
0;0;51.4;LA;4.2;6;1;drogas;1
0;1;26.4;LA;2.8;2;1;outro;0
1;0;30.7;LA;5.9;12;1;drogas;1
1;0;33.7;LA;5.8;18;1;drogas;1
1;0;27.3;LA;0.8;11;1;outro;0
1;1;23.7;LA;1.3;5;1;subtracao;1
1;0;31.5;LA;2.4;6;1;outro;1
1;1;52.5;LA;5.6;11;0;outro;1
1;1;38.1;LA;5.8;1;1;outro;0
1;0;24.2;LA;3.4;11;0;outro;1
0;1;28;LA;0.9;12;1;outro;0
1;1;45;LA;3.9;2;1;direcao;0
1;0;49.3;LA;3.7;6;1;outro;1
1;0;27.2;LA;5.1;6;1;outro;0
1;1;23;LA;2.9;12;1;subtracao;0
0;0;26.4;LA;5.1;6;1;outro;0
0;0;23;LA;4.1;8;0;subtracao;0
1;0;21.9;LA;1.7;11;1;subtracao;0
1;0;21.2;LA;1.9;12;1;outro;0
0;1;40.3;LA;5;6;1;drogas;0
0;1;25.3;LA;6;6;1;subtracao;1
1;1;25.8;LA;5.7;14;1;outro;1
1;0;23.6;LA;1.6;9;1;outro;1
1;0;23.3;LA;0.3;8;1;subtracao;1
1;0;21.7;LA;1.7;18;1;subtracao;1
1;1;23;LA;1.1;18;1;drogas;0
1;0;24.3;LA;1.1;12;0;subtracao;0
0;0;30.8;LA;5.6;12;0;subtracao;1
1;0;19.9;LA;1.4;3;1;drogas;1
1;0;22.5;LA;6;12;0;outro;0
1;0;20.2;LA;1.7;6;1;drogas;1
1;0;20.3;LA;5.2;12;1;drogas;0
1;0;42.1;LA;0.1;18;1;drogas;1
0;0;43.2;LA;5.8;12;1;subtracao;0
1;1;31;LA;4.9;5;0;subtracao;1
1;0;43.3;LA;5.6;9;0;drogas;0
1;0;28.4;LA;2.2;12;1;outro;1
1;0;20.3;LA;1.4;12;1;outro;1
0;0;21.2;LA;5.8;8;0;subtracao;0
0;1;25.7;LA;4;18;0;outro;0
1;1;31.4;LA;1.9;12;1;outro;1
1;1;30;LA;4.5;9;0;drogas;0
1;0;21.6;LA;4;8;1;drogas;1
1;1;20.7;LA;2.7;12;0;outro;0
1;1;20;LA;3.1;6;0;outro;0
0;0;22.8;LA;5.9;12;0;outro;1
1;0;55;LA;5.8;8;0;outro;0
1;0;31.1;LA;4.4;12;0;outro;0
1;1;53.5;LA;4.7;9;0;subtracao;0
0;1;51.1;LA;2;2;0;direcao;0
1;0;18.4;LA;4;8;0;outro;0
1;1;21.2;LA;1.3;1;0;direcao;0
1;1;20;LA;2;2;0;outro;0
1;0;25.5;LA;1.5;12;0;outro;0
0;0;34.1;LA;2.7;12;0;drogas;1
1;1;35.8;LA;2.7;15;0;outro;0
0;1;28.3;LA;4;4;0;drogas;0
1;1;45;LA;5;6;0;outro;1
1;1;47.5;outro;4.5;18;0;outro;0
1;1;54.4;outro;4.7;18;0;outro;0
1;0;41.7;outro;4;12;0;drogas;0
1;0;35.1;outro;3.4;12;0;drogas;0
1;1;39.9;outro;4;12;0;outro;0
1;1;31.3;outro;4.9;12;0;drogas;0
1;1;23.6;outro;4.2;12;1;outro;0
1;1;36.2;outro;4.8;12;0;outro;0
1;1;30.7;outro;2.2;12;0;drogas;0
0;0;23.2;outro;2.9;12;0;drogas;0
1;1;35.6;outro;2.4;12;0;outro;0
1;1;28.8;outro;3.2;12;0;direcao;1
0;1;51.8;outro;6;12;0;outro;0
1;0;48.5;outro;3.7;12;0;outro;1
0;1;44.8;outro;5.2;12;1;subtracao;0
1;0;26;outro;5.2;18;0;outro;1
1;0;51.8;outro;6;18;0;outro;0
1;1;25.9;outro;5.6;12;1;outro;0
0;1;41.2;outro;6;12;1;drogas;0
1;1;34.2;outro;6;12;1;drogas;0
1;0;43.3;outro;5.8;11;0;outro;0
1;1;19.6;outro;5.5;12;0;outro;0
1;1;48.4;outro;6;12;1;outro;1
1;1;39.8;outro;5.3;12;0;drogas;0
1;1;45.1;outro;5.2;12;0;direcao;0
1;1;63.4;outro;4;6;1;outro;0
1;1;25.3;outro;6;12;0;direcao;0
0;1;23.2;outro;5.3;9;0;outro;0
1;1;36.7;outro;5.8;12;0;outro;0
0;1;20.9;outro;5.3;12;1;outro;0
1;1;28.9;outro;5.8;12;0;outro;0
0;1;34.7;outro;3.9;6;0;drogas;0
1;1;22.6;outro;5.5;12;1;drogas;0
1;1;20.7;outro;6;12;1;outro;0
1;1;19.4;outro;3.8;4;0;outro;0
0;1;33.3;outro;5.1;13;0;outro;1
1;1;45;outro;0.7;13;0;subtracao;1
1;1;31;outro;4.9;12;0;drogas;0
1;1;54.9;outro;3.1;12;0;outro;0
1;1;25.7;outro;4.2;8;0;outro;0
1;1;37.8;outro;4.6;18;0;direcao;0
1;1;19.1;outro;4.5;18;0;drogas;0
1;1;61.4;outro;4.3;18;0;direcao;0
1;1;25.1;outro;4;18;0;subtracao;0
1;1;21;outro;4.5;18;0;drogas;0
1;1;24.2;outro;5.4;18;0;direcao;0
1;1;59.4;outro;3.1;12;0;direcao;0
1;1;56.4;outro;3;12;0;direcao;0
1;1;53;outro;3;18;0;direcao;0
1;1;54.8;outro;2.9;9;0;direcao;0
0;1;52.1;outro;4.8;18;0;direcao;0
0;1;45;outro;2.9;12;0;direcao;0
1;1;47.7;outro;3.1;18;0;direcao;0
0;1;42;outro;2.9;12;0;direcao;0
1;1;20.5;outro;3;12;0;outro;0
1;1;19.4;outro;4.5;18;1;outro;0
1;1;33.9;outro;4.4;18;0;direcao;0
1;1;26.5;outro;3.7;18;0;direcao;0
1;1;21.9;outro;3;12;0;drogas;0
1;1;58.5;outro;5.1;15;0;subtracao;0
1;1;53.9;outro;4.2;18;0;direcao;0
0;1;53;outro;2.7;12;0;direcao;0
1;1;51.8;outro;4.6;18;0;direcao;0
